study_id,Study Class,Treatment Focus (Study level),Total N Randomized,Intervention Group,Treatment Focus (Arm level),Treatment Focus Subclass (Arm level),N Completed Outcome Measurement,N Completed Outcome Measurement Detail,Publication Treatment Name,NCPTSD Treatment Name,Psychotherapy,Psychotherapy Subclass,Pharmacotherapy,Pharmacotherapy Subclass,CIH,CIH Subclass,Nonpharm Biologic,Nonpharm Cognitive Therapy,Control,Other,Collaborative Care,Format,Delivery Method,Arm N Randomized,Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Analysis Type,Method for Handling Missing Data,Statistical Analysis Method,Assessment Point Category,Follow-up Assessment in Weeks,Measure Score Detail,Measure Score Mean,Measure Score Standard Deviation,Measure Score Type of Variance Measure,Measure Score Variance Value or Lower Bound,Measure Score Variance Upper Bound,Score Difference from Baseline Detail,Score Difference from Baseline,Score Difference from Baseline Standard Deviation,Score Difference from Baseline 95% CI Lower Bound,Score Difference from Baseline 95% CI Upper Bound,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Diagnostic Change Definition 1,Percent Achieved Diagnostic Change Definition 1,Additional Defs of Diagnostic Change,Clinically Meaningful Response Definition 1,Percent Achieved Clinically Meaningful Response Definition 1,Additional Defs of Clinically Meaningful Response,Military Status (Study level),Active Duty Military Percent (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail  (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
acarturk2016_HTQ_A_0_NA,Psychotherapy,PTSD,98,A,PTSD,,,,EMDR Recent Traumatic Episode Protocol,Eye Movement Desensitization and Reprocessing (EMDR),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,49,Self report,HTQ,HTQ (Arabic version),,,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",End of Treatment,0,,1.42,,SE,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_HTQ_A_4_NA,Psychotherapy,PTSD,98,A,PTSD,,,,EMDR Recent Traumatic Episode Protocol,Eye Movement Desensitization and Reprocessing (EMDR),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,49,Self report,HTQ,HTQ (Arabic version),,,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",Assessment at <3 Months,4,,1.57,,SE,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_HTQ_A_Baseline_NA,Psychotherapy,PTSD,98,A,PTSD,,,,EMDR Recent Traumatic Episode Protocol,Eye Movement Desensitization and Reprocessing (EMDR),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,49,Self report,HTQ,HTQ (Arabic version),,,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",Baseline,,,2.63,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_HTQ_B_0_NA,Psychotherapy,PTSD,98,B,Control,,,,Waitlist,Waitlist,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,,,49,Self report,HTQ,HTQ (Arabic version),,,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",End of Treatment,0,,2.38,,SE,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_HTQ_B_4_NA,Psychotherapy,PTSD,98,B,Control,,,,Waitlist,Waitlist,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,,,49,Self report,HTQ,HTQ (Arabic version),,,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",Assessment at <3 Months,4,,2.38,,SE,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_HTQ_B_Baseline_NA,Psychotherapy,PTSD,98,B,Control,,,,Waitlist,Waitlist,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,,,49,Self report,HTQ,HTQ (Arabic version),,,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",Baseline,,,2.47,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_IES_A_0_ITT,Psychotherapy,PTSD,98,A,PTSD,,37,,EMDR Recent Traumatic Episode Protocol,Eye Movement Desensitization and Reprocessing (EMDR),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,49,Self report,IES,IES-R (Arabic version),ITT,Imputed,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",End of Treatment,0,,21.36,,SEM,2.76,,,-38.33,,,,,,,,,,,,,,,,,,Not meeting criteria for PTSD according to MINI,0.6122,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_IES_A_4_ITT,Psychotherapy,PTSD,98,A,PTSD,,31,,EMDR Recent Traumatic Episode Protocol,Eye Movement Desensitization and Reprocessing (EMDR),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,49,Self report,IES,IES-R (Arabic version),ITT,Imputed,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",Assessment at <3 Months,4,,25.87,,SEM,3.01,,,-33.82,,,,,,,,,,,,,,,,,,Not meeting criteria for PTSD according to MINI,0.4898,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_IES_A_Baseline_ITT,Psychotherapy,PTSD,98,A,PTSD,,49,,EMDR Recent Traumatic Episode Protocol,Eye Movement Desensitization and Reprocessing (EMDR),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,49,Self report,IES,IES-R (Arabic version),ITT,Imputed,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",Baseline,,,59.69,13.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_IES_B_0_ITT,Psychotherapy,PTSD,98,B,Control,,33,,Waitlist,Waitlist,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,,,49,Self report,IES,IES-R (Arabic version),ITT,Imputed,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",End of Treatment,0,,59.01,,SEM,2.92,,,-3.54,,,,,,,,,,,,,,,,,,Not meeting criteria for PTSD according to MINI,0.0612,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_IES_B_4_ITT,Psychotherapy,PTSD,98,B,Control,,33,,Waitlist,Waitlist,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,,,49,Self report,IES,IES-R (Arabic version),ITT,Imputed,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",Assessment at <3 Months,4,,60.37,,SEM,3.01,,,-2.18,,,,,,,,,,,,,,,,,,Not meeting criteria for PTSD according to MINI,0.0409,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_IES_B_Baseline_ITT,Psychotherapy,PTSD,98,B,Control,,49,,Waitlist,Waitlist,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,,,49,Self report,IES,IES-R (Arabic version),ITT,Imputed,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",Baseline,,,62.55,12.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acierno2017_PCL_A_0_Comp,Psychotherapy,PTSD,150,A,PTSD,,55,,PE delivered in-person,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,76,Self report,PCL,PCL-M,Completer,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,End of Treatment,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_A_0_ITT,Psychotherapy,PTSD,150,A,PTSD,,68,,PE delivered in-person,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,76,Self report,PCL,PCL-M,ITT,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,End of Treatment,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_A_12_Comp,Psychotherapy,PTSD,150,A,PTSD,,55,,PE delivered in-person,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,76,Self report,PCL,PCL-M,Completer,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,Assessment at 3 to <6 Months,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_A_12_ITT,Psychotherapy,PTSD,150,A,PTSD,,68,,PE delivered in-person,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,76,Self report,PCL,PCL-M,ITT,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,Assessment at 3 to <6 Months,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_PCL_A_26_Comp,Psychotherapy,PTSD,150,A,PTSD,,55,,PE delivered in-person,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,76,Self report,PCL,PCL-M,Completer,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,Assessment at 6 to <12 Months,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
